"SIF_A_ifld [mW m-2nm-1sr-1]";"SIF_B_ifld [mW m-2nm-1sr-1]";"SIF_A_sfm [mW m-2nm-1sr-1]";"SIF_B_sfm [mW m-2nm-1sr-1]";"A_sfm_conv";"B_sfm_conv"
0.441514515355527;11.9310172158323;0.773431195401019;2.4741319160056;0;0
1.17411586817147;10.0157193116431;1.21347395716214;1.11538776199962;0;0
1.58118985435395;7.235885902129;1.60223287627151;1.38282768370616;0;0
2.40654409029566;3.80170346264245;2.19936352982875;1.83888133452513;0;0
2.1358312968166;3.5231717414965;2.42800113831407;1.18414546239223;0;0
1.90271110702221;3.0883122729597;2.42271051741208;1.23193537470683;0;0
1.99517737959209;1.04328404158936;2.34776423165549;0.0616440193047634;0;0
2.94653255369549;2.30966347934091;2.60836870723786;0.855636159241864;0;0
2.41425557685442;-0.386288491239794;2.99390244543103;0.375956596394537;0;0
1.73349176106066;9.97254414227583;1.32445800149301;1.06540143482191;0;0
2.91122668513727;3.70567309878165;2.12811634504631;2.54944146837409;0;0
1.98879622394492;-0.448303533101752;2.66702072759446;2.19588275427347;0;0
3.53653171562436;3.13693660946433;3.20012185262379;0.163290770505019;0;0
3.93798995641852;4.49108138382904;3.39564121381782;2.72101234668065;0;0
1.97664084710816;3.85313984301279;1.977783938251;0.525223795423532;0;0
2.11537220543286;1.02217839509725;2.18689673773868;0.509222180754848;0;0
1.71018477705309;0.0386596983066925;2.0993161918672;0.556739403360598;0;0
2.25517320420819;2.50942356663372;2.47593860946731;1.82601645770214;0;0
2.45008330385847;1.58481724280253;2.39181871456133;1.7884506508864;0;0
2.61328109098323;1.24563522173179;2.76661192313304;1.21994389529979;0;0
3.01929448950368;1.17187321835623;2.89057753329998;1.66905850738941;0;0
3.84922753942377;3.66343884354534;2.43616537750862;0.734980530555925;0;0
2.74073875820527;2.51577038819514;3.05065987150469;0.105334067669793;0;0
3.53969302028482;2.31876591342098;3.5783560520194;-0.624386680397534;0;0
4.00486795757104;2.92842408892215;3.83593653215869;1.14927056766532;0;0
3.6061308466039;-1.90493000464829;3.82361659835543;0.319696468671421;0;0
3.66142341139653;2.88202833600577;3.91306544413643;1.02339117902436;0;0
3.58186275950002;-1.01656261838184;4.05718702811053;1.60818596430217;0;0
3.25900017438013;0.11038263828038;3.04608697916805;1.27833728332262;0;0
3.79820315660316;3.72685040585215;3.7442598748709;1.30915590359783;0;0
3.70673412158703;-0.437174824275731;4.33570261762207;0.249257101841762;0;0
3.75801272639152;2.26992901768431;4.1987091276247;0.414534129450549;0;0
4.02397596319664;0.0108835857179021;4.79336007635154;0.18642244905625;0;0
4.72498201881707;2.16886214830916;4.58093295076375;2.87489100868362;0;0
4.99141601901498;3.08308946150121;4.81602426944348;2.09598438839883;0;0
4.09040153494628;2.66015077169113;3.43998561876276;1.0894590312159;0;0
3.68991464528976;3.08843468220244;3.91322312708218;1.19108414093274;0;0
4.37453408915864;2.48328136204094;4.22849358979407;1.40283984338243;0;0
4.36313381486856;2.11879409320598;4.48302474954986;0.72300641978336;0;0
4.92711344584343;4.02160767080365;4.63615831379869;2.08254237912471;0;0
4.49192880949479;-1.86378122280288;4.91809085405552;0.287617605773019;0;0
6.0179406677917;0.612710141922627;4.90046565558826;0.982608145356532;0;0
3.59139941355845;0.888336224854878;3.60299150239815;0.57607058441786;0;0
4.02605468764637;2.02344395343432;4.08038884302908;2.26463921091915;0;0
4.43590547055704;3.80053297738976;4.47020916374227;0.120993782672963;0;0
4.67665146729622;2.69919342817257;4.85986355469908;0.836204051996536;0;0
4.90988371980347;1.02221838081177;5.05294549079656;1.74943861999024;0;0
4.60006162613;3.48148693605207;5.04704367695273;1.6471950334911;0;0
3.92172337102225;1.18954533632004;5.24214563416923;1.5118960394998;0;0
3.322761077405;-0.303804780169884;3.95678250366829;2.11178225795425;0;0
3.94222274837691;1.76036348114402;4.49131287049771;0.361053250766951;0;0
4.45068568556538;1.22896622647491;4.6766380340072;1.45128234083487;0;0
4.55091453386071;3.98360157729255;5.08652220016994;2.11668348015807;0;0
4.97436616727799;0.384836467643019;5.29804429200313;1.19659911336674;0;0
5.27403688245916;-0.235655247620276;5.30604531337851;0.541684180390393;0;0
4.65005800979706;2.59683065470655;5.1074299990002;1.85318003355533;0;0
3.46100362235765;0.924845854524698;3.91278052029453;0.437143634535415;0;0
4.2416424293883;0.421017771700783;4.65073103477411;0.985561305621456;0;0
5.36652104712437;3.82015358526062;4.98157646057729;1.40361733301757;0;0
4.34565088217079;2.70984332721383;4.66014530535926;1.76407307623209;0;0
5.52458662743191;-1.51886478017214;5.4867069643335;0.212826479104986;0;0
4.10487651546047;1.39963751516704;5.32121967585658;1.48351120440053;0;0
5.90656642047768;1.493156979364;5.80762030707709;1.35277662109046;0;0
